"email_base","market","asset_name","email_display_name","sfmc_reference_name","journey_name","path_name","email_slug","preview_file","preview_url","has_ampscript","source_system","preview_source","generation_method","status","match_method","sfmc_search_term","sfmc_name_pattern"
"EDM_ILS_Opp_50plus2024_Email1","WWAFR","","To Contact (50+) - Email 1","EDM_ILS_Opp_50plus2024_Email1_ALL","Opportunity MQL Journey","""To Contact"" path (50+)","to-contact-50-email-1","WWAFR/to-contact-50-email-1-wwafr.html","https://cc-content-static.pages.dev/WWAFR/to-contact-50-email-1-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_ILS_Opp_50plus2024_Email1","{sfmc_email_base}_{market}"
"EDM_ILS_Opp_50plus2024_Email2","WWAFR","","To Contact (50+) - Email 2","EDM_ILS_Opp_50plus2024_Email2_ALL","Opportunity MQL Journey","""To Contact"" path (50+)","to-contact-50-email-2","WWAFR/to-contact-50-email-2-wwafr.html","https://cc-content-static.pages.dev/WWAFR/to-contact-50-email-2-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_ILS_Opp_50plus2024_Email2","{sfmc_email_base}_{market}"
"EDM_ILS_Opp_50plus2024_Email3","WWAFR","","To Contact (50+) - Email 3","EDM_ILS_Opp_50plus2024_Email3_ALL","Opportunity MQL Journey","""To Contact"" path (50+)","to-contact-50-email-3","WWAFR/to-contact-50-email-3-wwafr.html","https://cc-content-static.pages.dev/WWAFR/to-contact-50-email-3-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_ILS_Opp_50plus2024_Email3","{sfmc_email_base}_{market}"
"EDM_ILS_Opp_50plus2024_Email4","WWAFR","","To Contact (50+) - Email 4","EDM_ILS_Opp_50plus2024_Email4_ALL","Opportunity MQL Journey","""To Contact"" path (50+)","to-contact-50-email-4","WWAFR/to-contact-50-email-4-wwafr.html","https://cc-content-static.pages.dev/WWAFR/to-contact-50-email-4-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_ILS_Opp_50plus2024_Email4","{sfmc_email_base}_{market}"
"EDM_ILSY_Expax_JB_CourseTypes","WWAFR","","Returner nurturing - explore courses","EDM_ILSY_Expax_JB_CourseTypes","Returner Journey","Returner journey (no active opp)","edm-ilsy-expax-jb-coursetypes","WWAFR/edm-ilsy-expax-jb-coursetypes-wwafr.html","https://cc-content-static.pages.dev/WWAFR/edm-ilsy-expax-jb-coursetypes-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","EDM_ILSY_Expax_JB_CourseTypes","EDM_ILS/Y_Expax_JB_CourseTypes"
"EDM_LEADOPP_ALL_Event_Reminder","WWAFR","","Info Meeting day-before reminder","EDM_LEADOPP_ALL_Event_Reminder_ALL","Autoreplies","Info Meeting: Autoreply and Reminder","info-meeting-day-before-reminder","WWAFR/info-meeting-day-before-reminder-wwafr.html","https://cc-content-static.pages.dev/WWAFR/info-meeting-day-before-reminder-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_LEADOPP_ALL_Event_Reminder","{sfmc_email_base}_{market}"
"EDM_LEADOPP_ALL_Infomeeting_Autoreply","WWAFR","","Info Meeting AR","EDM_LEADOPP_ALL_Infomeeting_Autoreply_ALL","Autoreplies","Info Meeting: Autoreply and Reminder","info-meeting-ar","WWAFR/info-meeting-ar-wwafr.html","https://cc-content-static.pages.dev/WWAFR/info-meeting-ar-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_LEADOPP_ALL_Infomeeting_Autoreply","{sfmc_email_base}_{market}"
"EDM_MU_BKN_CS_1ST_INSTALMENT","WWAFR","","Payment - 1st instalment","EDM_MU_BKN_CS_1ST_INSTALMENT_ALL","Booking Journey","Booking path","payment-1st-instalment","WWAFR/payment-1st-instalment-wwafr.html","https://cc-content-static.pages.dev/WWAFR/payment-1st-instalment-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_MU_BKN_CS_1ST_INSTALMENT","{sfmc_email_base}_{market}"
"EDM_MU_BKN_CS_OTHER_INSTALMENT","WWAFR","","Payment - other instalment","EDM_MU_BKN_CS_OTHER_INSTALMENT_ALL","Booking Journey","Booking path","payment-other-instalment","WWAFR/payment-other-instalment-wwafr.html","https://cc-content-static.pages.dev/WWAFR/payment-other-instalment-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_MU_BKN_CS_OTHER_INSTALMENT","{sfmc_email_base}_{market}"
"EDM_MU_BKN_CS_PAYMENT_REM","WWAFR","","Payment - reminder","EDM_MU_BKN_CS_PAYMENT_REM_ALL","Booking Journey","Booking path","payment-reminder","WWAFR/payment-reminder-wwafr.html","https://cc-content-static.pages.dev/WWAFR/payment-reminder-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_MU_BKN_CS_PAYMENT_REM","{sfmc_email_base}_{market}"
